Sample ID,"Composite Depth, m",d13C,d180
758A 4-4 071,34.74,0.09,3.31
758A 4-4 071,34.74,0.14,3.24
758A 4-4081,34.84,-0.16,3.28
758A 4-4 081,34.84,0.06,3.33
758A 4-4 091,34.94,-0.05,3.33
758A 4-4 091,34.94,-0.12,3.42
758A 4-4 101,35.04,-0.09,3.08
758A 4-4 101,35.04,0.05,3.15
758A 4-4 111,35.14,0.15,3.13
758A 4-4 111,35.14,0.24,3.3
758A 4-4 121,35.24,-0.09,3.01
758A 4-4 121,35.24,0.05,3.32
758A 4-4 131,35.34,-0.06,3.49
758A 4-4 131,35.34,-0.78,2.99
758A 4-4 141,35.44,0.04,3.42
758A 4-4 141,35.44,-0.3,3.2
758A 4-4 141,35.44,-0.01,3.58
758A 4-5 001,35.6,-0.03,3.22
758A 4-5 001,35.6,0.06,3.41
758A 4-5 001,35.6,-0.04,3.45
758A 4-5 011,35.64,-0.07,3.12
758A 4-5 021,35.74,0.4,2.78
758A 4-5 031,35.84,0.36,3.3
758A 4-5 041,35.94,0.22,3.09
758A 4-5 051,36.04,0.25,3.25
758A 4-5 051,36.04,0.16,3.19
758A 4-5 061,36.14,0.29,3.08
758A 4-5 061,36.14,0.46,2.87
758A 4-5 061,36.14,0.07,3.11
758A 4-5 071,36.24,0.38,3.14
758A 4-5 081,36.34,-0.29,3.26
758A 4-5 091,36.44,-0.13,3.69
758A 4-5 091,36.44,0.04,3.5
758A 4-5 101,36.54,-0.17,3.71
758A 4-5 101,36.54,-0.05,3.49
758A 4-5 111,36.64,-0.13,3.35
758A 4-5 121,36.74,0.1,3.09
758A 4-5 131,36.84,0.31,3.09
758A 4-5 141,36.94,0.04,3.39
758A 4-6 001,37.04,-0.31,3.66
758A 4-6 011,37.14,-0.33,3.79
758A 4-6 021,37.24,-0.04,3.32
758A 4-6 021,37.24,0.01,3.15
758A 4-6 031,37.34,-0.22,3.05
758A 4-6 041,37.44,-0.14,3.45
758A 4-6 051,37.54,-0.38,3.55
758A 4-6 051,37.54,-0.43,3.66
758A 4-6 061,37.64,-0.34,3.59
758A 4-6 061,37.64,-0.61,3.65
758A 4-6 061,37.64,-0.61,3.65
758A 4-6 071,37.74,-0.2,3.42
758A 4-6 071,37.74,-0.51,3.52
758A 4-6 081,37.84,-0.25,3.26
758A 4-6 081,37.84,-0.24,3.17
758A 4-6 091,37.94,0.18,3.09
758A 4-6 091,37.94,0.17,3.06
758A 4-6 101,38.04,-0.46,2.88
758A 4-6 111,38.14,-0.05,3.15
758A 4-6 121,38.24,0.11,3.1
758A 4-6 121,38.24,-0.01,3.03
758A 4-6 131,38.34,-0.4,2.49
758A 4-6 131,38.34,0.05,2.94
758A 4-6 141,38.44,0.24,2.9
758A 4-6 141,38.44,0.15,3.01
758A 4-7 001,38.54,-0.36,3.03
758A 4-7 011,38.64,-0.06,3.33
758A 4-7 021,38.74,0,3.07
758A 4-7 021,38.74,-0.19,3.58
758A 4-7 031,38.84,-0.25,2.94
758A 4-7 041,38.94,-0.19,2.98
758A 4-7 051,39.04,0.02,3.15
758A 4-7 051,39.04,-0.06,2.83
758A 4-7 061,39.14,-0.06,3.1
758A 4-7 061,39.14,-0.16,3.17
758A 4-7 071,39.24,-0.14,3.24
758B 4-5 101,39.25,-0.16,3.3
758B 4-5 111,39.35,-0.11,2.98
758B 4-5 121,39.45,0.23,3.04
758B 4-5 131,39.55,-0.16,2.45
758B 4-5 141,39.65,0.17,3.16
758B 4-6 001,39.75,0.08,3.29
758B 4-6 011,39.85,0.05,3.27
758B 4-6 021,39.95,-0.09,3.17
758B 4-6 031,40.05,-0.26,2.63
758B 4-6 041,40.15,-0.22,3.18
758A 5-1 021,40.16,-0.39,3.12
758A 5-1 021,40.16,-0.71,3.19
758A 5-1 031,40.26,-0.37,3.47
758A 5-1 031,40.26,-0.28,3.43
758A 5-1 041,40.36,-0.08,3.24
