mcd,ageSBP90,C13,O18
10604,2486,0.2,3.49
10620,2488.8,-0.13,3.51
10650,2494,0.55,3.39
10672,2497.8,0.92,3.07
10680,2499.2,1.07,3.07
10707,2503.9,0.92,2.81
10725,2507,0.78,2.64
10740,2516,0.68,3.27
10770,2520.7,-0.15,3.78
10785,2523,0.03,3.67
10798,2525,-0.16,3.66
10822,2530.6,0.53,3.44
10829,2532.2,0.56,3.52
10847,2536.5,0.72,3.15
10858,2539,0.9,2.92
10875,2543,1.18,2.71
10920,2546.9,0.98,2.74
10950,2549.4,0.58,3.32
10972,2551.3,1.05,2.87
10980,2552,0.99,2.97
10997,2559.5,0.99,2.73
11009,2564.8,0.94,2.64
11025,2571.8,1,2.71
11055,2585,1.06,2.59
11070,2589.2,1.05,2.69
11085,2593.4,1,2.67
11100,2597.6,0.94,2.95
11122,2603.8,0.33,2.97
11130,2606,0.12,3.38
11147,2610.4,0.64,3.16
11160,2613.7,0.59,3.13
11175,2617.6,0.61,3.08
11190,2621.5,1.03,3.01
11205,2625.4,0.82,2.77
11226,2630.8,1.1,2.62
11240,2634.4,0.96,2.41
11256,2638.5,1.02,2.7
11270,2642.1,0.91,2.74
11286,2646.3,0.93,3.01
11300,2649.9,0.92,3.12
11316,2654,0.57,3.32
11346,2661.2,0.88,2.83
11360,2664.5,0.92,2.72
11375,2668.1,1.06,2.48
11418,2678.4,0.88,2.49
11433,2682,0.99,2.73
11464,2689.4,0.9,3.11
11479,2693,0.8,3.32
11509,2702,0.94,2.79
11531,2708.8,0.84,2.98
11555,2716.3,0.67,2.92
11569,2720.7,0.41,3.31
11584,2725.3,0.56,3.33
11613,2734.4,0.42,3.46
11644,2744,0.72,3.49
11659,2747,0.54,2.82
11689,2753,0.97,2.78
11706,2756.4,0.71,2.75
11718,2758.8,0.49,2.63
11733,2761.8,0.66,2.59
11746,2764.4,1.26,2.61
11778,2770.8,1.02,2.52
11794,2774,0.88,2.68
11809,2777,0.8,3.36
11837,2782.6,0.95,2.69
11855,2786.2,1.08,2.57
11869,2789,0.85,2.41
11884,2793.6,1.09,2.69
11914,2802.7,0.75,2.77
11929,2807.2,1,2.95
11943,2811.4,0.7,3.07
11958,2816,0.65,3.12
11980,2820.4,0.88,2.94
11988,2821.9,0.93,2.97
12006,2825.5,1.13,2.77
12018,2827.9,1.13,2.66
12049,2834,1.19,2.48
12064,2837,0.93,2.48
12107,2849.5,1.1,2.79
12131,2856.5,1,2.89
12138,2858.5,0.79,2.53
12156,2863.8,1.03,2.68
12168,2867.3,0.87,2.41
12183,2871.6,1,2.55
12198,2876,0.95,2.43
12214,2879.9,1.17,2.74
12243,2886.8,1.08,2.61
12248,2888,0.74,2.59
12309,2902.7,0.49,2.33
12320,2905.4,0.95,2.54
12335,2909,0.91,2.17
12357,2912.81,1.06,2.37
12365,2914.2,0.95,2.47
12382,2917.15,0.68,2.5
12395,2919.4,0.87,2.74
12425,2924.6,0.79,2.71
12440,2927.2,0.57,2.76
12455,2929.8,0.8,2.19
12470,2932.4,0.34,2.89
12507,2938.8,0.88,2.35
12513,2939.9,0.86,2.39
12532,2943.1,0.98,2.21
12545,2945.4,0.82,2.16
12560,2948,0.84,2.17
12575,2952.1,0.93,2.21
12590,2956.2,1.06,2.36
12605,2960.3,0.77,2.29
12620,2964.4,0.95,2.39
12633,2967.9,0.86,2.68
12657,2979.77,0.81,2.75
12665,2981.8,0.66,2.67
12682,2986.1,0.72,2.62
12695,2989.4,0.75,2.6
12710,2993.2,0.6,2.42
12725,2997,0.96,2.34
12740,3000.8,0.73,2.6
12757,3005.1,0.69,2.53
12770,3008.4,0.79,2.58
12785,3012.2,0.93,2.44
12807,3017.77,0.77,2.61
12815,3019.8,0.73,2.59
12832,3024.1,0.64,2.75
12843,3026.89,0.59,2.6
12860,3031.2,0.54,2.66
12875,3035,0.71,2.55
12890,3038.8,0.75,2.21
12905,3042.6,0.91,2.44
12920,3046.4,0.7,2.34
12935,3050.2,0.72,2.78
12957,3055.7,0.52,2.58
12965,3057.64,0.62,2.59
12982,3061.76,0.85,2.26
12995,3064.91,0.9,2.45
13010,3068.55,0.79,2.06
13023,3071.7,0.81,2
13040,3075.83,1.01,2.33
13070,3083.1,0.81,2.36
13083,3086.26,0.82,2.19
13115,3094.02,0.83,2.35
13143,3100.81,0.66,2.37
13162,3105.42,0.9,2.31
13175,3108.57,0.97,2.43
13192,3112.69,0.92,2.23
13207,3116.33,0.71,2.38
13220,3119.48,0.76,2.43
13280,3134.14,0.51,2.33
13295,3137.83,0.51,2.5
13310,3141.52,0.79,2.19
13332,3146.93,0.77,2.07
13357,3153.08,0.81,2.13
13370,3156.28,0.72,2.18
13385,3159.97,0.87,2.21
13415,3167.36,0.96,2.25
13430,3171.05,0.87,2.24
13445,3174.74,1,2.29
13460,3178.43,0.67,2.43
13482,3183.84,1.05,2.02
13488,3185.32,1.08,2.05
13507,3189.99,1.06,2.13
13518,3192.7,1,1.98
13535,3196.88,1.01,2.11
13548,3200.08,1.01,1.93
13565,3204.27,1.07,2.03
13580,3207.96,1.01,2.07
13610,3215.34,1.01,2.24
13632,3220.75,0.82,2.02
13643,3223.61,0.94,2.19
13657,3227.26,0.94,2.07
13670,3230.64,0.75,2.11
13685,3234.55,0.77,2.08
13700,3238.46,0.91,2.23
13730,3246.28,1.12,2.1
13782,3259.84,0.85,2.22
13790,3261.92,0.78,2.08
