Leg,Site,H,Cor,T,   Sc,LL(m),CL(m),Top(mbsf),Comment
306,1313,B,14,H,4,1.5,1.5,124.4,
306,1313,B,14,H,5,1.5,1.5,125.9,
306,1313,B,14,H,6,1.5,1.5,127.4,
306,1313,B,14,H,7,0.77,0.77,128.9,
306,1313,B,14,H,CC(7),0.27,0.27,129.67,
306,1313,B,15,H,1,1.5,1.5,129.4,
306,1313,B,15,H,2,1.5,1.5,130.9,
306,1313,B,15,H,3,1.5,1.5,132.4,
306,1313,B,15,H,4,1.5,1.5,133.9,
306,1313,B,15,H,5,1.5,1.5,135.4,
306,1313,B,15,H,6,1.5,1.5,136.9,
306,1313,B,15,H,7,0.79,0.79,138.4,
306,1313,B,15,H,CC(7),0.27,0.27,139.19,
306,1313,B,16,H,1,1.5,1.5,138.9,
306,1313,B,16,H,2,1.5,1.5,140.4,
306,1313,B,16,H,3,1.5,1.5,141.9,
306,1313,B,16,H,4,1.5,1.5,143.4,
306,1313,B,16,H,5,1.5,1.5,144.9,
306,1313,B,16,H,6,1.5,1.5,146.4,
306,1313,B,16,H,7,0.79,0.79,147.9,
306,1313,B,16,H,CC(7),0.26,0.26,148.69,
306,1313,B,17,H,1,1.5,1.5,148.4,
306,1313,B,17,H,2,1.5,1.5,149.9,
306,1313,B,17,H,3,1.5,1.5,151.4,
306,1313,B,17,H,4,1.5,1.5,152.9,
306,1313,B,17,H,5,1.5,1.5,154.4,
306,1313,B,17,H,6,1.5,1.5,155.9,
306,1313,B,17,H,7,0.78,0.78,157.4,
306,1313,B,17,H,CC(7),0.3,0.3,158.18,
306,1313,B,18,H,1,1.5,1.5,157.9,
306,1313,B,18,H,2,1.5,1.5,159.4,
306,1313,B,18,H,3,1.5,1.5,160.9,
306,1313,B,18,H,4,1.5,1.5,162.4,
306,1313,B,18,H,5,1.5,1.5,163.9,
306,1313,B,18,H,6,1.5,1.5,165.4,
306,1313,B,18,H,7,0.79,0.79,166.9,
306,1313,B,18,H,CC(7),0.15,0.15,167.69,
306,1313,B,19,H,1,1.5,1.5,167.4,
306,1313,B,19,H,2,1.5,1.5,168.9,
306,1313,B,19,H,3,1.5,1.5,170.4,
306,1313,B,19,H,4,1.5,1.5,171.9,
306,1313,B,19,H,5,1.5,1.5,173.4,
306,1313,B,19,H,6,1.5,1.5,174.9,
306,1313,B,19,H,7,0.84,0.84,176.4,
306,1313,B,19,H,CC(7),0.21,0.21,177.24,
306,1313,B,20,H,1,1.5,1.5,176.9,
306,1313,B,20,H,2,1.5,1.5,178.4,
306,1313,B,20,H,3,1.5,1.5,179.9,
306,1313,B,20,H,4,1.5,1.5,181.4,
306,1313,B,20,H,5,1.5,1.5,182.9,
306,1313,B,20,H,6,1.5,1.5,184.4,
306,1313,B,20,H,7,0.58,0.58,185.9,
306,1313,B,20,H,CC(7),0.21,0.21,186.48,
306,1313,B,21,H,1,1.5,1.5,188.4,
306,1313,B,21,H,2,1.5,1.5,189.9,
306,1313,B,21,H,3,1.5,1.5,191.4,
306,1313,B,21,H,4,1.5,1.5,192.9,
306,1313,B,21,H,5,1.5,1.5,194.4,
