SectionLabel,Leg,Site,Hole,Core,Type,Section,LL(m),CL(m),Top(mbsf),Comment,CoreLabel,Bottom(mbsf),Top(mcd),Bottom(mcd),Filename
1313C_21H3,306,1313,C,21,H,3,1.5,1.5,186.2,,1313C_21,187.7,206.51,208.01,1313c_021h_03.jpg
1313C_21H4,306,1313,C,21,H,4,1.5,1.5,187.7,,1313C_21,189.2,208.01,209.51,1313c_021h_04.jpg
1313C_21H5,306,1313,C,21,H,5,1.5,1.5,189.2,,1313C_21,190.7,209.51,211.01,1313c_021h_05.jpg
1313C_21H6,306,1313,C,21,H,6,1.5,1.5,190.7,,1313C_21,192.2,211.01,212.51,1313c_021h_06.jpg
1313B_21H2,306,1313,B,21,H,2,1.5,1.5,189.9,,1313B_21,191.4,212.24,213.74,1313b_021h_02.jpg
1313B_21H3,306,1313,B,21,H,3,1.5,1.5,191.4,,1313B_21,192.9,213.74,215.24,1313b_021h_03.jpg
1313B_21H4,306,1313,B,21,H,4,1.5,1.5,192.9,,1313B_21,194.4,215.24,216.74,1313b_021h_04.jpg
1313B_21H5,306,1313,B,21,H,5,1.5,1.5,194.4,,1313B_21,195.9,216.74,218.24,1313b_021h_05.jpg
1313B_21H6,306,1313,B,21,H,6,1.5,1.5,195.9,,1313B_21,197.4,218.24,219.74,1313b_021h_06.jpg
1313B_21H7,306,1313,B,21,H,7,0.37,0.37,197.4,,1313B_21,197.77,219.74,220.11,1313b_021h_07.jpg
1313C_22H4,306,1313,C,22,H,4,1.5,1.5,197.2,,1313C_22,198.7,218.44,219.94,1313c_022h_04.jpg
1313C_22H5,306,1313,C,22,H,5,1.5,1.5,198.7,,1313C_22,200.2,219.94,221.44,1313c_022h_05.jpg
1313C_22H6,306,1313,C,22,H,6,1.5,1.5,200.2,,1313C_22,201.7,221.44,222.94,1313c_022h_06.jpg
1313B_22H2,306,1313,B,22,H,2,1.5,1.5,199.4,,1313B_22,200.9,221.79,223.29,1313b_022h_02.jpg
1313B_22H3,306,1313,B,22,H,3,1.5,1.5,200.9,,1313B_22,202.4,223.29,224.79,1313b_022h_03.jpg
1313B_22H4,306,1313,B,22,H,4,1.5,1.5,202.4,,1313B_22,203.9,224.79,226.29,1313b_022h_04.jpg
1313B_22H5,306,1313,B,22,H,5,1.5,1.5,203.9,,1313B_22,205.4,226.29,227.79,1313b_022h_05.jpg
1313C_23H2,306,1313,C,23,H,2,1.5,1.5,203.7,,1313C_23,205.2,225.73999999999998,227.23999999999998,1313c_023h_02.jpg
1313C_23H3,306,1313,C,23,H,3,1.5,1.5,205.2,,1313C_23,206.7,227.23999999999998,228.73999999999998,1313c_023h_03.jpg
1313C_23H4,306,1313,C,23,H,4,1.5,1.5,206.7,,1313C_23,208.2,228.73999999999998,230.23999999999998,1313c_023h_04.jpg
1313C_23H5,306,1313,C,23,H,5,1.5,1.5,208.2,,1313C_23,209.7,230.23999999999998,231.73999999999998,1313c_023h_05.jpg
