Age [ka BP],607,1308,925,659,664,1088,U1474,1090,U1475,758,1143,U1489,846,849,stack,1s,filt
17.0,0.5778800916468361,0.3574838095238094,0.34356459828729874,0.21403921568627454,0.18540000000000004,0.3776,,0.025952380952380956,0.11433333333333331,-0.0029922993216038698,,-0.2593023255813954,-0.3448,-0.22675,0.08172736087159024,0.1651253802082898,0.1139103012938419
18.0,0.540323778683091,0.30766380952380945,0.3965172120983163,0.20305212816834053,0.06643333333333337,0.4234,,-0.0014285714285714069,0.08566666666666677,-0.028246221192535614,,-0.27688372093023256,-0.3722,-0.23850000000000002,0.06034316173786391,0.16401919451138586,0.11390876019662274
19.0,0.504902954649792,0.2777542857142856,0.4454849130003741,0.21301195600191294,-0.016066666666666618,0.44239999999999996,,-0.07285714285714283,0.04166666666666677,-0.04802135963885638,,-0.2944651162790698,-0.3872,-0.24275000000000002,0.04018166804362041,0.1557751185132757,0.11390722395464686
20.0,0.4897536308224848,0.26775523809523805,0.48901423731152915,0.24391869918699186,-0.06209999999999993,0.4346,,-0.17142857142857132,0.022666666666666606,-0.06110420847847189,,-0.3120465116279069,-0.3898,-0.2395,0.02750405887334245,0.13801704626928613,0.11390569272838602
21.0,0.5181679052078931,0.2776666666666666,0.5271051850317813,0.29577235772357724,-0.07166666666666659,0.4,,-0.2574387151310228,0.057166666666666574,-0.06749476771138216,,-0.32602790697674416,-0.38,-0.22875,0.030235020895243186,0.11327658788446203,0.11390416665058081
22.0,0.5456678410422603,0.29528235294117644,0.5597577561611307,0.3328390243902439,-0.052133333333333254,0.3568,,-0.2593406593406592,0.0555666666666666,-0.06719303733758716,,-0.3328093023255814,-0.36646666666666666,-0.21425,0.03933668067748326,0.1016829731513642,0.11390264581488994
23.0,0.57645398151535,0.3083960784313725,0.5869719506995771,0.34187317073170725,-0.01086666666666658,0.32320000000000004,,-0.24660256410256398,0.05729999999999978,-0.06019901735708694,,-0.3323906976744186,-0.35786666666666667,-0.19975,0.05040325790356273,0.09229745418096963,0.11390113028851205
24.0,0.6112560557480811,0.3170078431372549,0.6127326815560804,0.336820905923345,0.052133333333333406,0.2992,,-0.22359065934065914,0.06329999999999979,-0.04869083404312651,,-0.3247720930232558,-0.3542,-0.18525,0.06452222993526684,0.08453650107488499,0.11389962012672378
25.0,0.6419857572953008,0.3211176470588235,0.6493657032474726,0.37110686050702874,0.13686666666666675,0.28480000000000005,,-0.12462637362637352,0.07929999999999993,-0.03105857351553789,,-0.3099534883720931,-0.35546666666666665,-0.17075,0.0925839215438975,0.09487008054865148,0.11389811536536679
26.0,0.6468955286050722,0.32072549019607843,0.6817052697846012,0.4068394088669951,0.2433333333333334,0.28,,-0.06349718230487433,0.09079999999999996,-0.007302235774321056,-0.1803333333333333,-0.2915348837209303,-0.3616666666666667,-0.15625,0.1246100916243365,0.10328646408559403,0.11389661600966756
27.0,0.6558255911682266,0.32421246187363834,0.7097513811674666,0.4463014778325123,0.34840000000000004,0.2826000000000001,0.19635836845802593,-0.09791269841269823,0.09539999999999996,0.02257817918052398,-0.16466666666666663,-0.2731162790697675,-0.36550000000000005,-0.1401,0.14572370110937574,0.09446055393624268,0.11389512205501243
28.0,0.6722073339068156,0.339959651416122,0.7335040373960686,0.5059014778325124,0.42893333333333333,0.29040000000000005,0.2035085353003161,-0.14379365079365058,0.08750000000000005,0.05858267134899723,-0.14699999999999996,-0.2546976744186047,-0.3596666666666667,-0.12065000000000001,0.1639063606182316,0.09320932854732204,0.11389363351449669
29.0,0.7018979915974735,0.3679670588235294,0.7529632384704072,0.5727586206896551,0.4849333333333333,0.3034,0.1995242623814542,-0.19677380952380935,0.09683333333333324,0.09583924183671558,-0.12733333333333327,-0.2362790697674419,-0.3441666666666666,-0.0979,0.18383315722676066,0.09236661410583581,0.11389215041393091
30.0,0.7529858706853525,0.4082346840958606,0.7567798554863977,0.5934482758620689,0.5164000000000001,0.3216,0.18440554970144016,-0.28892857142857126,0.09816666666666658,0.12703486992744106,-0.10566666666666662,-0.21786046511627913,-0.319,-0.07185,0.19683929065812217,0.09046159538912416,0.11389067278432508
31.0,0.825470971170453,0.46076252723311556,0.7574479387502258,0.6071374312843578,0.5233333333333333,0.34500000000000003,0.1841131278538813,-0.33797366946778695,0.11749999999999997,0.15216955562117368,-0.08199999999999995,-0.1994418604651163,-0.2841666666666667,-0.042499999999999996,0.21620376347478357,0.09015584244208347,0.11388920066134868
32.0,0.870237074401009,0.5108065359477125,0.7549674882618914,0.6189275362318841,0.5223333333333333,0.36899999999999994,0.20857728310502283,-0.294084780578898,0.14999999999999997,0.17124329891791346,-0.06197999999999996,-0.1810232558139535,-0.24916666666666662,-0.014899999999999993,0.2410669890813748,0.08332767407763449,0.11388773407055576
33.0,0.8579857082807905,0.5436226579520698,0.7493385040213948,0.6329565217391304,0.53,0.38899999999999996,0.2605574200913241,-0.24846573295985044,0.19999999999999987,0.18425609981766033,-0.0512533333333333,-0.16260465116279071,-0.22349999999999998,0.005900000000000006,0.26198522817474246,0.07240448114294852,0.11388627302555177
34.0,0.9365194498294576,0.5592108932461874,0.7405609860287357,0.6533623188405797,0.5463333333333333,0.40499999999999997,0.335966210045662,-0.2173070028011202,0.2538095238095238,0.19277930006343155,-0.04981999999999996,-0.14418604651162795,-0.20716666666666667,0.019900000000000008,0.2874973070869639,0.07177724222939329,0.11388481753772023
35.0,0.9725391882248866,0.5575712418300655,0.7291117723531103,0.6801449275362319,0.5713333333333332,0.417,0.40856563926940626,-0.17668795518207253,0.28647619047619044,0.19944699297564478,-0.05767999999999997,-0.12576744186046515,-0.2001666666666667,0.027100000000000003,0.3063562301635474,0.07837259851416757,0.11388336761936116
36.0,0.968747589752437,0.5387037037037038,0.7255316618920762,0.7120289855072464,0.605,0.425,0.4523949771689497,-0.13469047619047608,0.3142857142857142,0.20422044125148622,-0.07483333333333331,-0.10734883720930233,-0.20249999999999999,0.027500000000000004,0.3181457447734643,0.08556690988915198,0.11388192329616184
37.0,0.971024955297447,0.518915824915825,0.7253863155682682,0.7439130434782608,0.6282,0.4324,0.4658989726027398,-0.18254761904761896,0.30453571428571424,0.2070996448909559,-0.09341999999999998,-0.08893023255813956,-0.2091,0.0259,0.3178054728166751,0.0928954332643304,0.11388048462206755
38.0,1.0043917060330503,0.5145151515151515,0.7286757333816862,0.7675090579710144,0.6218,0.4426,,-0.24959523809523798,0.29803571428571424,0.20808460389405375,-0.10557999999999997,-0.07051162790697676,-0.2149,0.027100000000000003,0.3063339664006827,0.09443311695906634,0.11387905168755466
