Era,Leg/Exp,Site,Hole,Latitude,Longitude,Water depth (m),Transition Depth,Green bands assoc. with transition,Red bands assoc. with transition,Green bands deeper than transiition,Red bands deeper than transiition,Unusable image,Bottomwater O2 (umol/L),CaCO3 (%),Productivity (mgC/m2/day),Organic Carbon (%),Sedimentation Rate (cm/ka)
DSDP,32,305,*,32.0022,157.85,2903.0,None,False,False,False,False,False,174.25,41.89,281.23883056640625,1.338600993156433,0.5023003220558167
DSDP,32,306,*,31.867,157.4785,3399.0,None,False,False,False,False,False,174.9375,27.36,246.34750366210935,1.3422688245773315,0.4768577218055725
DSDP,32,307,*,28.5877,161.0047,5696.0,None,False,False,False,False,False,174.125,0.4649999999999999,158.3799285888672,0.8292170763015747,0.1202140972018241
DSDP,32,308,*,34.9823,172.1497,1331.0,None,False,False,False,False,False,163.6875,6.823333333333333,332.64813232421875,0.7964022755622864,0.1225674524903297
DSDP,32,310,*,36.8685,176.9015,3516.0,None,False,False,False,False,False,153.75,34.7875,403.3984680175781,0.5967223048210144,0.2065527290105819
DSDP,32,311,*,28.1243,179.7375,5775.0,None,False,False,False,False,False,171.625,20.4325,178.66932678222656,0.5026921033859253,0.0792382732033729
DSDP,32,313,*,20.1753,-170.9525,3484.0,None,False,False,False,False,False,175.5,40.46666666666666,174.50479125976562,0.5246982574462891,0.0978901833295822
DSDP,33,315,*,4.171,-158.5257,4152.0,None,False,False,False,False,False,175.5625,77.83500000000001,345.681640625,1.4684749841690063,0.4373668730258941
DSDP,33,316,*,0.0907,-157.1285,4451.0,None,False,False,False,False,False,175.1875,75.82,451.90386962890625,1.4415327310562134,0.1742384284734726
DSDP,33,317,*,-11.0015,-162.263,2598.0,None,False,False,False,False,False,190.75,83.3,138.71163940429688,0.3791965842247009,0.5443946719169617
DSDP,33,318,*,-14.8272,-146.8585,2641.0,None,False,False,False,False,False,186.5625,40.3225,181.2946014404297,0.9082605242729188,0.567334771156311
DSDP,34,319,*,-13.0173,-101.5243,4290.0,None,False,False,False,False,False,162.875,40.06,427.0623779296875,1.173481583595276,0.8318955302238464
DSDP,34,321,*,-12.0215,-81.904,4817.0,None,False,False,False,False,True,146.5625,0.2575,639.067138671875,1.1341508626937866,0.2712129652500152
DSDP,36,327,*,-50.8713,-46.7837,2400.0,None,False,False,False,False,False,219.1875,5.2,486.8697509765625,0.4174033403396606,
