Leg,Site,H,Cor,T,Depth (mbsf),Format,DPI,Image Link,Filename
306,1314,A,4,H,25.4,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_004h_04.jpg,1314a_004h_04.jpg
306,1314,A,4,H,26.9,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_004h_05.jpg,1314a_004h_05.jpg
306,1314,A,4,H,28.4,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_004h_06.jpg,1314a_004h_06.jpg
306,1314,A,4,H,29.9,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_004h_07.jpg,1314a_004h_07.jpg
306,1314,A,5,H,30.4,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1314A5H.PDF,1314A5H.PDF
306,1314,A,5,H,30.4,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_005h_01.jpg,1314a_005h_01.jpg
306,1314,A,5,H,31.9,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_005h_02.jpg,1314a_005h_02.jpg
306,1314,A,5,H,33.4,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_005h_03.jpg,1314a_005h_03.jpg
306,1314,A,5,H,34.9,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_005h_04.jpg,1314a_005h_04.jpg
306,1314,A,5,H,36.4,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_005h_05.jpg,1314a_005h_05.jpg
306,1314,A,5,H,37.9,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_005h_06.jpg,1314a_005h_06.jpg
306,1314,A,5,H,39.4,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_005h_07.jpg,1314a_005h_07.jpg
306,1314,A,6,H,39.9,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1314A6H.PDF,1314A6H.PDF
306,1314,A,6,H,39.9,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_006h_01.jpg,1314a_006h_01.jpg
306,1314,A,6,H,41.4,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_006h_02.jpg,1314a_006h_02.jpg
306,1314,A,6,H,42.9,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_006h_03.jpg,1314a_006h_03.jpg
