"Exp","Site","Hole","Core","Type","Sect","A/W","Top offset on section (cm)","Bot offset on section (cm)","Top depth CSF-A (m)","Top depth CSF-B (m)","Inorganic carbon (wt%)","Calcium carbonate (wt%)","Total carbon (wt%)","Hydrogen (wt%)","Nitrogen (wt%)","Sulfur (wt%)","Organic carbon (wt%), CHNS with treated sample (wt%)","Organic carbon (wt%) by difference (CHNS-COUL)","Sample treatment method (CHNS organic carbon)","Sample comments"
"361","U1474","A","1","H","2","W","100.0","101.0","2.500","2.486","5.554","46.281","6.6327","0.0000","0.1027","","","1.08","",""
"361","U1474","A","1","H","3","W","8.0","9.0","3.080","3.064","3.581","29.840","3.8940","0.0000","0.0601","","","0.31","",""
"361","U1475","B","1","H","1","W","20.0","21.0","0.200","0.199","9.775","81.455","10.1647","","0.0947","","","0.39","",""
"361","U1475","B","1","H","1","W","20.0","21.0","0.200","0.199","","","9.8143","","0.1178","","","","","portion of SC"
"361","U1475","B","1","H","1","W","80.0","81.0","0.800","0.798","9.624","80.197","10.2676","","0.1461","","","0.64","",""
"361","U1475","B","1","H","2","W","60.0","61.0","2.100","2.093","9.678","80.647","10.1394","","0.1320","","","0.46","",""
"361","U1476","A","1","H","1","W","80.0","81.0","0.800","0.797","9.073","75.605","9.1162","","0.1219","","","0.04","",""
"361","U1476","A","1","H","3","W","40.0","41.0","3.400","3.389","8.796","73.297","9.1311","","0.1193","","","0.34","",""
"361","U1476","A","1","H","4","W","80.0","81.0","5.300","5.281","8.959","74.655","9.2110","","0.0964","","","0.25","",""
"361","U1477","A","1","H","1","W","40.0","41.0","0.400","0.397","1.310","10.916","1.6919","","0.1275","","","0.38","",""
"361","U1477","A","1","H","4","W","40.0","41.0","4.900","4.861","0.285","2.375","1.1371","","0.1427","","","0.85","",""
"361","U1478","A","1","H","1","W","95.0","96.0","0.950","0.950","3.890","32.415","4.4692","","0.1212","","","0.58","",""
"361","U1478","A","1","H","3","W","95.0","96.0","3.950","3.950","2.842","23.682","3.3356","","0.1236","","","0.49","",""
"361","U1478","A","1","H","4","W","30.0","31.0","4.800","4.800","2.929","24.407","3.4760","","0.1392","","","0.55","",""
"361","U1479","B","1","H","1","W","40.0","41.0","0.400","0.397","7.886","65.714","8.7165","","0.2711","","","0.83","",""
